countrycode,year,rgdpe,avh,hc,rgdpe_pct_change_1y,rgdpe_pct_change_2y,rgdpe_pct_change_3y,rgdpe_pct_change_5y,rgdpe_pct_change_10y,rgdpe_acceleration,rgdpe_zscore_3y,rgdpe_zscore_5y,rgdpe_zscore_10y,rgdpe_vs_global,rgdpe_percentile,rgdpe_lag1,rgdpe_lag2,avh_pct_change_1y,avh_pct_change_2y,avh_pct_change_3y,avh_pct_change_5y,avh_pct_change_10y,avh_acceleration,avh_zscore_3y,avh_zscore_5y,avh_zscore_10y,avh_vs_global,avh_percentile,avh_lag1,avh_lag2,hc_pct_change_1y,hc_pct_change_2y,hc_pct_change_3y,hc_pct_change_5y,hc_pct_change_10y,hc_acceleration,hc_zscore_3y,hc_zscore_5y,hc_zscore_10y,hc_vs_global,hc_percentile,hc_lag1,hc_lag2,recession,recession_last_year,recession_next_year
NLD,1974,347475.28125,1734.14,2.73052382469177,4.264359334794832,12.197118125028572,17.453314795797326,31.08047109805976,77.50650590861741,-3.3439536504329403,0.9082500979830755,1.2557195748671748,1.5441810490908603,-900135.015625,40.0,333263.71875,309700.71875,-3.0161011593505704,-4.438774666747491,-4.528738163400137,-9.058299726777374,-11.395082670808721,-1.5491839448400935,-1.0922848813240231,-1.539074725160897,-1.620851966521186,-206.48777777777786,33.33333333333333,1788.07,1814.69,0.7010071817954211,1.4069373408355679,2.1178265432498122,3.426210579112565,6.4404547535126255,-8.804832929421025e-06,1.0011601573855076,1.2693203781062727,1.5683401743597714,0.2596597909927336,40.0,2.7115159034729,2.69264006614685,0,0,0
NLD,1975,353447.28125,1680.6,2.74966526031494,1.7186834063466216,6.056333577415551,14.125431376642549,25.903920045319694,67.68140761903365,-2.54567592844821,0.8408826337384155,1.0360198929631965,1.365019685296662,-908457.0406249999,40.0,347475.28125,333263.71875,-3.0874093210467524,-6.010391092071343,-7.389140844992815,-9.165594698894175,-13.889572060993615,-0.07130816169618193,-0.9987881679197189,-1.4724022085881283,-1.6714748906340295,-230.5722222222223,33.33333333333333,1734.14,1788.07,0.7010169788696397,1.4069383400325375,2.117817189346538,3.5545653080013784,6.572551820088535,9.797074218553803e-06,1.001164549966967,1.2693230517609857,1.5549384442729788,0.25928686857223315,40.0,2.73052382469177,2.7115159034729,0,0,0
NLD,1976,371716.53125,1664.57,2.76894092559814,5.1688755209515325,6.976395533171464,11.538253442117297,25.64732260277316,69.94747741503129,3.450192114604911,1.1219643990299293,1.2313161022340005,1.4425871661598908,-959553.5046875,40.0,353447.28125,347475.28125,-0.9538260145186217,-4.011786822286556,-6.906888432779478,-8.358841664831541,-14.517321775212356,2.1335833065281307,-0.7832073585821688,-1.099536159148237,-1.4476166352036568,-245.14222222222224,22.22222222222222,1680.6,1734.14,0.7010186134799534,1.4069498518551438,2.117819853156333,3.5545731525177704,6.704806961614396,1.6346103137721002e-06,1.00116263230525,1.2693270271375552,1.5383559458975742,0.25859409570693614,40.0,2.74966526031494,2.73052382469177,0,0,0
NLD,1977,380424.4375,1644.21,2.7883517742157,2.3426201198847085,7.632582758761841,9.482446098458986,22.836149375258753,63.53305317451608,-2.826255401066824,0.8639564286641904,1.2241267179006612,1.3658057437225934,-1013807.57890625,40.0,371716.53125,353447.28125,-1.223138708495286,-2.165298107818625,-5.185855813256146,-9.394442025910765,-14.803799140892583,-0.26931269397666435,-1.0372182476171985,-0.995112051824691,-1.3503921174454672,-258.0033333333331,22.22222222222222,1664.57,1680.6,0.7010206840496913,1.4069535830091962,2.117833545380554,3.554567477182813,6.837241041625175,2.070569737888661e-06,1.0011627382848431,1.2693275888021391,1.5218996997002754,0.2578539848327641,40.0,2.76894092559814,2.74966526031494,0,0,0
NLD,1978,391804.25,1615.48,2.80789852142334,2.9913463432537757,5.40404234443097,10.852246087265671,17.56582788836807,55.3599698641408,0.6487262233690672,1.041271431192729,1.236746673002585,1.3501584872726358,-1090303.00546875,40.0,380424.4375,371716.53125,-1.747343709136917,-2.94910998035528,-3.874806616684512,-9.652306677031653,-15.281062683874612,-0.524205000641631,-1.0517507071665113,-1.1795982582448674,-1.3772725458465758,-279.78999999999996,22.22222222222222,1644.21,1664.57,0.7010143909528033,1.4069493308812353,2.11783092105291,3.554565836290813,6.969816752614144,-6.293096888043692e-06,1.0011607602210628,1.2693232810551862,1.5083182073003432,0.2570653319358831,40.0,2.7883517742157,2.76894092559814,0,0,0
NLD,1979,396087.53125,1593.8,2.82758235931397,1.0932197009093203,4.117268031709975,6.556340100895097,13.99013185200495,49.41880183690755,-1.8981266423444554,0.8213402722415377,1.0197327335779334,1.2353234656454721,-1144351.07421875,40.0,391804.25,380424.4375,-1.3420159952460042,-3.0659100723143706,-4.251548447947517,-8.092772209856191,-16.418004373659446,0.4053277138909128,-0.9502895255433329,-1.2984936432912115,-1.3644020155297127,-298.0711111111111,22.22222222222222,1615.48,1644.21,0.7010167119804844,1.4069453309672353,2.117828992800286,3.5545756365321868,7.102573462146156,2.321027681162491e-06,1.0011627906608151,1.2693234620444092,1.5001540794967192,0.2563747048378042,40.0,2.80789852142334,2.7883517742157,0,0,0
NLD,1980,408260.84375,1590.88,2.84740424156189,3.0733894757006386,4.200208075844003,7.317197189783586,15.50827107967745,45.42944126588826,1.9801697747913183,1.117781695776496,1.3160550198260383,1.3143480443955144,-1132473.6515625,40.0,396087.53125,391804.25,-0.18320993851171918,-1.5227672270780146,-3.2435029588677833,-5.3385695584910025,-14.014852608935346,1.158806056734285,-0.682568905486352,-0.9640562732116452,-1.1693937881216991,-294.5855555555554,22.22222222222222,1593.8,1615.48,0.7010187407141988,1.406949711221217,2.117827022123131,3.554577448302032,7.235492533126786,2.0287337143543027e-06,1.0011627252383533,1.2693249531721311,1.5001545978034718,0.25627287626266515,40.0,2.82758235931397,2.80789852142334,0,0,1
NLD,1981,398746.3125,1590.37,2.86219620704651,-2.330503009450069,0.6712610320272594,1.771819090783211,7.27161128914684,34.78390749766713,-5.403892485150708,-0.3570521815021603,0.3620135752085321,0.9216627907545203,-1173829.265625,30.0,408260.84375,396087.53125,-0.03205772905563453,-0.2152089346216579,-1.5543367915418438,-4.457607670449426,-12.443844968068717,0.15115220945608465,-0.7096265996818419,-0.7122286186044138,-0.9864586440030083,-279.94444444444434,22.22222222222222,1590.88,1593.8,0.5194894798817185,1.224149939205943,1.933748146839953,3.367904334334093,7.04219211012258,-0.18152926083248033,0.9482302492505725,1.1981336292072169,1.4417348210401588,0.25094903707504423,40.0,2.84740424156189,2.82758235931397,1,0,1
NLD,1982,388588.09375,1575.75,2.87706518173218,-2.5475392327295787,-4.818671763693971,-1.8933788388472483,2.1459337112117005,25.472131714256797,-0.21703622327950978,-1.010726255816087,-1.0741353534299378,0.46752504370341,-1170447.77890625,30.0,398746.3125,408260.84375,-0.9192829341599706,-0.95104596198331,-1.1325134897728684,-4.163701716933965,-13.166987198915525,-0.8872252051043361,-1.1541918638576893,-1.2266904438029669,-1.028050292669354,-286.0244444444445,22.22222222222222,1590.37,1590.88,0.5194952969703293,1.0416835002682978,1.750004637538316,3.181571577045106,6.849230162768882,5.817088610804433e-06,1.0008643145259444,1.1901216759142648,1.4064066557579713,0.24546004533767896,40.0,2.86219620704651,2.84740424156189,1,1,1
NLD,1983,388089.625,1560.73,2.8920111656189,-0.12827689731551573,-2.6725482257594524,-4.940767418379199,-0.9480818546506287,16.45120760688865,2.419262335414063,-0.618297216975318,-0.9478857580360025,0.28697955159503885,-1225220.58828125,30.0,388588.09375,398746.3125,-0.9531968903696675,-1.8637172481875242,-1.8951775118173697,-3.389085596850472,-12.714267338527009,-0.03391395620969684,-1.004467936647888,-1.5459235642853695,-1.1760859662526773,-294.26333333333355,22.22222222222222,1575.75,1590.37,0.5194871489745623,1.0416811572521834,1.566582061159738,2.995572794166468,6.656618237599954,-8.147995766982774e-06,1.0008598554250945,1.2248787423550744,1.3900865850166824,0.23980166912079204,40.0,2.87706518173218,2.86219620704651,1,1,0
